CustomerID,CustomerName,Region,SubscriptionType,SubscriptionStart,SubscriptionEnd,Subscription Months Durations,Canceled,Revenue
201,John,North,Basic,31-01-22,31-01-23,12,FALSE,"2,638"
202,Jane,South,Premium,28-02-22,28-02-23,12,TRUE,"2,456"
203,Alex,East,Basic,31-03-22,31-03-23,12,FALSE,"2,833"
204,Maria,West,Standard,30-04-22,30-04-23,12,TRUE,"1,309"
205,James,North,Basic,31-05-22,31-05-23,12,FALSE,"2,153"
206,Ella,South,Premium,30-06-22,30-06-23,12,TRUE,"1,317"
207,Mike,East,Basic,31-07-22,31-07-23,12,FALSE,"2,991"
208,Sara,West,Standard,31-08-22,31-08-23,12,FALSE,"1,278"
209,Tom,North,Basic,30-09-22,30-09-23,12,TRUE,"1,296"
210,Eva,South,Premium,31-10-22,31-10-23,12,TRUE,"1,168"
211,Liam,East,Basic,30-11-22,30-11-23,12,FALSE,"2,502"
212,Anna,West,Standard,31-12-22,31-12-23,12,FALSE,"2,855"
213,Chris,North,Basic,31-01-23,31-01-24,12,TRUE,"1,807"
214,Zoe,South,Premium,28-02-23,29-02-24,12,FALSE,"1,078"
215,Paul,East,Basic,31-03-23,31-03-24,12,FALSE,"2,285"
216,Grace,West,Standard,30-04-23,30-04-24,12,TRUE,"1,960"
217,Rob,North,Basic,31-05-23,31-05-24,12,TRUE,"2,631"
218,Sophia,South,Premium,30-06-23,30-06-24,12,FALSE,"2,485"
219,Dan,East,Basic,31-07-23,31-07-24,12,FALSE,"1,980"
220,Nina,West,Standard,31-08-23,31-08-24,12,TRUE,"2,443"
201,John,North,Basic,31-01-22,31-01-23,12,FALSE,"1,728"
202,Jane,South,Premium,28-02-22,28-02-23,12,TRUE,"1,360"
203,Alex,East,Basic,31-03-22,31-03-23,12,FALSE,"2,787"
204,Maria,West,Standard,30-04-22,30-04-23,12,TRUE,"1,143"
205,James,North,Basic,31-05-22,31-05-23,12,FALSE,"2,996"
206,Ella,South,Premium,30-06-22,30-06-23,12,TRUE,"2,040"
207,Mike,East,Basic,31-07-22,31-07-23,12,FALSE,"1,873"
208,Sara,West,Standard,31-08-22,31-08-23,12,FALSE,"1,312"
209,Tom,North,Basic,30-09-22,30-09-23,12,TRUE,"2,258"
210,Eva,South,Premium,31-10-22,31-10-23,12,TRUE,"1,921"
211,Liam,East,Basic,30-11-22,30-11-23,12,FALSE,"1,286"
212,Anna,West,Standard,31-12-22,31-12-23,12,FALSE,"2,597"
213,Chris,North,Basic,31-01-23,31-01-24,12,TRUE,"2,275"
214,Zoe,South,Premium,28-02-23,29-02-24,12,FALSE,"1,019"
215,Paul,East,Basic,31-03-23,31-03-24,12,FALSE,"2,212"
216,Grace,West,Standard,30-04-23,30-04-24,12,TRUE,"2,511"
217,Rob,North,Basic,31-05-23,31-05-24,12,TRUE,"1,308"
218,Sophia,South,Premium,30-06-23,30-06-24,12,FALSE,"1,925"
219,Dan,East,Basic,31-07-23,31-07-24,12,FALSE,"1,047"
220,Nina,West,Standard,31-08-23,31-08-24,12,TRUE,"2,639"
201,John,North,Basic,31-01-22,31-01-23,12,FALSE,"1,829"
202,Jane,South,Premium,28-02-22,28-02-23,12,TRUE,"1,067"
203,Alex,East,Basic,31-03-22,31-03-23,12,FALSE,"1,125"
204,Maria,West,Standard,30-04-22,30-04-23,12,TRUE,"2,633"
205,James,North,Basic,31-05-22,31-05-23,12,FALSE,"2,633"
206,Ella,South,Premium,30-06-22,30-06-23,12,TRUE,"2,850"
207,Mike,East,Basic,31-07-22,31-07-23,12,FALSE,"1,845"
208,Sara,West,Standard,31-08-22,31-08-23,12,FALSE,"2,947"
209,Tom,North,Basic,30-09-22,30-09-23,12,TRUE,"2,919"
210,Eva,South,Premium,31-10-22,31-10-23,12,TRUE,"1,052"
211,Liam,East,Basic,30-11-22,30-11-23,12,FALSE,"2,051"
212,Anna,West,Standard,31-12-22,31-12-23,12,FALSE,"1,800"
213,Chris,North,Basic,31-01-23,31-01-24,12,TRUE,"2,183"
214,Zoe,South,Premium,28-02-23,29-02-24,12,FALSE,"1,066"
215,Paul,East,Basic,31-03-23,31-03-24,12,FALSE,"2,068"
216,Grace,West,Standard,30-04-23,30-04-24,12,TRUE,"1,917"
217,Rob,North,Basic,31-05-23,31-05-24,12,TRUE,"1,222"
218,Sophia,South,Premium,30-06-23,30-06-24,12,FALSE,"2,805"
219,Dan,East,Basic,31-07-23,31-07-24,12,FALSE,"2,278"
220,Nina,West,Standard,31-08-23,31-08-24,12,TRUE,"1,180"
201,John,North,Basic,31-01-22,31-01-23,12,FALSE,"2,251"
202,Jane,South,Premium,28-02-22,28-02-23,12,TRUE,"2,147"
203,Alex,East,Basic,31-03-22,31-03-23,12,FALSE,"2,601"
204,Maria,West,Standard,30-04-22,30-04-23,12,TRUE,"2,810"
205,James,North,Basic,31-05-22,31-05-23,12,FALSE,"2,292"
206,Ella,South,Premium,30-06-22,30-06-23,12,TRUE,"2,537"
207,Mike,East,Basic,31-07-22,31-07-23,12,FALSE,"1,904"
208,Sara,West,Standard,31-08-22,31-08-23,12,FALSE,"1,500"
209,Tom,North,Basic,30-09-22,30-09-23,12,TRUE,"1,518"
210,Eva,South,Premium,31-10-22,31-10-23,12,TRUE,"2,980"
211,Liam,East,Basic,30-11-22,30-11-23,12,FALSE,"1,602"
212,Anna,West,Standard,31-12-22,31-12-23,12,FALSE,"1,705"
213,Chris,North,Basic,31-01-23,31-01-24,12,TRUE,"2,865"
214,Zoe,South,Premium,28-02-23,29-02-24,12,FALSE,"1,299"
215,Paul,East,Basic,31-03-23,31-03-24,12,FALSE,"2,711"
216,Grace,West,Standard,30-04-23,30-04-24,12,TRUE,"1,994"
217,Rob,North,Basic,31-05-23,31-05-24,12,TRUE,"1,268"
218,Sophia,South,Premium,30-06-23,30-06-24,12,FALSE,"1,118"
219,Dan,East,Basic,31-07-23,31-07-24,12,FALSE,"2,097"
220,Nina,West,Standard,31-08-23,31-08-24,12,TRUE,"2,951"
201,John,North,Basic,31-01-22,31-01-23,12,FALSE,"2,318"
202,Jane,South,Premium,28-02-22,28-02-23,12,TRUE,"1,693"
203,Alex,East,Basic,31-03-22,31-03-23,12,FALSE,"1,819"
204,Maria,West,Standard,30-04-22,30-04-23,12,TRUE,"2,217"
205,James,North,Basic,31-05-22,31-05-23,12,FALSE,"1,545"
206,Ella,South,Premium,30-06-22,30-06-23,12,TRUE,"1,358"
